id,value,feed_id,created_at,lat,lon,ele,,
0F9EHVZ3DPJ5T7DS62Z2NYRH7R,69.3328,2500978,2023-04-17 18:00:20 UTC,,,,,
0F9EHWC90WB90SZ9Z91S8QZ4N7,60.39341917,2500978,2023-04-17 18:01:03 UTC,,,,M̩dia,65.77313105
0F9EHWWHA688HEAV94R7X4CKGM,61.10885341,2500978,2023-04-17 18:01:56 UTC,,,,D-P:,5.336736481
0F9EHX1HWVNXZJ1XXMEA07HMXF,59.05308465,2500978,2023-04-17 18:02:13 UTC,,,,,
0F9EHX6PCT2WVXQ0DTQ7WPB9EG,58.27785614,2500978,2023-04-17 18:02:30 UTC,,,,,
0F9EHXA2VNEYC8ZVS4APTY40N7,57.64166667,2500978,2023-04-17 18:02:41 UTC,,,,,
0F9EHXNWAY0JMVDGX66JTC271D,59.49722222,2500978,2023-04-17 18:03:19 UTC,,,,,
0F9EHXTASWYYX5FSZFSD17YFXX,75.42424242,2500978,2023-04-17 18:03:34 UTC,,,,,
0F9EHXYBTT91NR27S5F59BBSRN,69.90277778,2500978,2023-04-17 18:03:47 UTC,,,,,
0F9EHY260CHXYW82K1W479JMVC,76.90992366,2500978,2023-04-17 18:04:00 UTC,,,,,
0F9EHY8VX78RH96ZXKRZGFEWB0,73.46702317,2500978,2023-04-17 18:04:22 UTC,,,,,
0F9EHYCSAVJNECZHSHSYYAAMQ6,73.41018388,2500978,2023-04-17 18:04:34 UTC,,,,,
0F9EHYJVV19PKNYWSH7QB9Z9DR,71.70277778,2500978,2023-04-17 18:04:54 UTC,,,,,
0F9EHYPZJW0H48HVN2C4456XQF,69.10794603,2500978,2023-04-17 18:05:08 UTC,,,,,
0F9EHZ6D6PN9Y56JCZ3KQFX1R6,78.66527778,2500978,2023-04-17 18:05:58 UTC,,,,,
0F9EHZGMF6GY1S7MBYB3FAVGH1,62.19027778,2500978,2023-04-17 18:06:32 UTC,,,,,
0F9EHZN0F7DG57WPCDK80J9HQ7,60.6375,2500978,2023-04-17 18:06:46 UTC,,,,,
0F9EJ01A6GQR4Z2ZGETTQGJPKJ,62.57391304,2500978,2023-04-17 18:07:27 UTC,,,,,
0F9EJ05KQR5AKH4P094D87D4HG,61.45555556,2500978,2023-04-17 18:07:41 UTC,,,,,
0F9EJ092N0C45G7RBNDHX5P38T,65.55153203,2500978,2023-04-17 18:07:52 UTC,,,,,
0F9EJ0CYHG89N76AH06NQGZ9WH,60.92753623,2500978,2023-04-17 18:08:05 UTC,,,,,
0F9EJ0YMN1NHXX9843YRBZWHWD,61.41899441,2500978,2023-04-17 18:09:03 UTC,,,,,
0F9EJ131FGMT3KC2FV3PXR5360,67.88322718,2500978,2023-04-17 18:09:17 UTC,,,,,
0F9EJ1AEX0EZJA786T15APCR89,70.95247934,2500978,2023-04-17 18:09:41 UTC,,,,,
0F9EJ1JDQP9TGABZ6MZGPDWCW3,61.17746479,2500978,2023-04-17 18:10:07 UTC,,,,,
0F9EJ1TBXQSXQW1D283PMHFPFB,63.51054217,2500978,2023-04-17 18:10:34 UTC,,,,,
0F9EJ21GGG3JTTZ1C3TV917R5X,69.05641749,2500978,2023-04-17 18:10:57 UTC,,,,,
0F9EJ25BN8EJ0Q6A1J5CFBNQKY,66.04583333,2500978,2023-04-17 18:11:10 UTC,,,,,
0F9EJ295Y5REMZE8T9G41PX6AA,69.01397206,2500978,2023-04-17 18:11:22 UTC,,,,,
0F9EJ2HNMH3V48WQTBSWGEENAS,56.90363128,2500978,2023-04-17 18:11:50 UTC,,,,,
